product_id,name,price,stock,category,discount,description,image,colors
P001,مداد HB فابرکاستل,500000.00,60,نوشت‌افزار,30.00,مداد HB فابرکاستل مناسب نوشتن روزانه و طراحی سبک.,p001_hb_faber.png,مشکی
P002,ست مداد فابرکاستل,1000000.00,45,نوشت‌افزار,0.00,ست مداد فابرکاستل؛ مناسب مدرسه، دانشگاه و طراحی.,p002_pencil_set_faber.png,مشکی
P003,مداد رنگی فابرکاستل,5000000.00,30,نوشت‌افزار,0.00,مداد رنگی فابر کاستل۴۸ رنگه,p003_color_pencils_faber.png,بسته چندرنگ
P004,پاک‌کن فابرکاستل,200000.00,70,نوشت‌افزار,0.00,پاک‌کن فابرکاستل نرم و تمیز برای نوشته‌های مدادی.,p004_faber_eraser.png,سفید
P005,پاک‌کن پاستلی رنگی,100000.00,90,نوشت‌افزار,0.00,پاک‌کن رنگی پاستلی؛ رنگ را هنگام افزودن به سبد انتخاب کن.,p005_pastel_erasers.png,آبی|صورتی|بنفش|سبز
P006,پاک‌کن آبی کلاسیک,100000.00,80,نوشت‌افزار,25.00,پاک‌کن آبی کلاسیک مناسب استفاده روزمره.,p006_blue_erasers.png,آبی
P007,خودکار آبی پنتر,50000.00,120,نوشت‌افزار,0.00,خودکار آبی Panter روان و مناسب نوشتن روزانه.,p007_panter_blue_pen.png,آبی
P008,هایلایتر فابرکاستل بسته چندرنگ,700000.00,28,نوشت‌افزار,0.00,بسته هایلایتر فابرکاستل؛ قابلیت خرید تکی ندارد و فقط پکی فروخته می‌شود.,p008_faber_highlighter.png,بسته چندرنگ
P009,هایلایتر پاستلی Zeyar بسته ۶ رنگ,450000.00,35,نوشت‌افزار,0.00,بسته ۶ رنگ هایلایتر پاستلی Zeyar؛ فقط به صورت پکی فروخته می‌شود.,p009_zeyar_highlighter.png,بسته ۶ رنگ
P010,هایلایتر پاستلی مینیمال بسته چندرنگ,350000.00,40,نوشت‌افزار,0.00,بسته هایلایتر پاستلی مینیمال؛ فقط به صورت پکی فروخته می‌شود.,p010_minimal_highlighter.png,بسته چندرنگ
P011,دفتر سیمی صورتی Lily,450000.00,45,نوشت‌افزار,0.00,دفتر سیمی صورتی با جلد ساده و شیک برای یادداشت و درس.,p011_lily_notebook.png,صورتی
P012,دفتر رنگی چندتایی,600000.00,25,نوشت‌افزار,0.00,ست دفترهای رنگی چندتایی؛ مناسب جزوه‌نویسی و برنامه‌ریزی.,p012_color_notebooks.png,زرد|قرمز|آبی|مشکی
P013,استیک‌نوت رنگی,100000.00,100,نوشت‌افزار,0.00,استیک‌نوت رنگی مناسب یادداشت‌های کوتاه و برنامه‌ریزی.,p013_sticky_notes.png,صورتی|زرد|سبز|آبی|بنفش
P014,کوله‌پشتی Nike صورتی,4000000.00,12,کیف و جامدادی,5.00,کوله‌پشتی صورتی Nike با ظاهر اسپرت و جادار.,p014_nike_backpack.png,صورتی
P015,کوله‌پشتی Kanken صورتی,3000000.00,10,کیف و جامدادی,5.00,کوله‌پشتی صورتی Kanken سبک و مناسب روزمره.,p015_kanken_backpack.png,صورتی
P016,جامدادی بنفش چندزیپ,700000.00,25,کیف و جامدادی,0.00,جامدادی بنفش چندزیپ با فضای زیاد برای لوازم نوشتن.,p016_purple_pencil_case.png,بنفش
P017,جامدادی قهوه‌ای ساده,300000.00,35,کیف و جامدادی,0.00,جامدادی قهوه‌ای ساده و مینیمال.,p017_brown_pencil_case.png,قهوه‌ای
P018,ماشین حساب صورتی ساده,700000.00,20,ماشین حساب,0.00,ماشین حساب صورتی ساده برای محاسبات روزمره.,p018_simple_calculator.png,صورتی
P019,ماشین حساب Casio صورتی,2800000.00,12,ماشین حساب,0.00,ماشین حساب علمی Casio صورتی مناسب درس‌های ریاضی.,p019_casio_calculator.png,صورتی
P020,ماشین حساب Sharp صورتی,4500000.00,8,ماشین حساب,0.00,ماشین حساب علمی Sharp صورتی با امکانات پیشرفته‌تر.,p020_sharp_calculator.png,صورتی
P021,پوشه دکمه‌دار رنگی,350000.00,50,پوشه,0.00,پوشه دکمه‌دار رنگی برای مرتب کردن برگه‌ها.,p021_button_folder.png,آبی|صورتی|بنفش|سبز|مشکی
P022,پوشه آکاردئونی رنگی,350000.00,30,پوشه,0.00,پوشه آکاردئونی رنگی با چند بخش برای دسته‌بندی مدارک.,p022_accordion_folder.png,آبی|صورتی|بنفش|مشکی
P023,پوشه تب‌دار چندرنگ,700000.00,40,پوشه,0.00,پوشه تب‌دار چندرنگ مناسب دسته‌بندی جزوه‌ها.,p023_tab_folder.png,آبی|صورتی|زرد|سبز
P024,پوشه طبقه‌بندی رنگی,300000.00,35,پوشه,0.00,پوشه طبقه‌بندی رنگی برای فایل‌ها و برگه‌های زیاد.,p024_sorting_folder.png,آبی|صورتی|زرد|سبز|نارنجی
P025,پوشه ساده رنگی,250000.00,60,پوشه,0.00,پوشه ساده رنگی برای استفاده روزانه.,p025_plain_folder.png,آبی|سبز|بنفش|صورتی|نارنجی|زرد
